trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.1, 'e': 0.9999212080235466}",20,0,-59.957490643979845,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.1, 'e': 0.9999182683458534}",25,0,-124.31372722805763,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
138,False,"{'a': 0.1, 'e': 0.9999152415736625}",20,0,-136.06641852740134,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
139,False,"{'a': 0.1, 'e': 0.9999121257858744}",20,0,-93.4570256481367,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
140,False,"{'a': 0.1, 'e': 0.9999089190333452}",20,0,-146.32802748765377,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
141,False,"{'a': 0.1, 'e': 0.9999056193386832}",20,0,-57.110805947712294,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
142,False,"{'a': 0.1, 'e': 0.9999022246960456}",20,6,-62.9099639032433,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
143,False,"{'a': 0.1, 'e': 0.999898733070936}",35,0,-254.60386063028915,"{0: 14, 1: 7, 2: 10, 3: 1, 4: 3}",0
144,False,"{'a': 0.1, 'e': 0.9998951424}",25,0,-130.80804535539522,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
145,False,"{'a': 0.1, 'e': 0.9998914505908229}",25,0,-88.29612489673335,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
146,False,"{'a': 0.1, 'e': 0.999887655521726}",25,17,-24.77114678255837,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.9998837550415638}",20,0,-160.16345057370444,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
148,False,"{'a': 0.1, 'e': 0.9998797469695202}",20,0,-68.86000976589094,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.9998756290949059}",20,0,-118.40566161189176,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
150,False,"{'a': 0.1, 'e': 0.9998713991769548}",20,0,-142.1695070265632,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
151,False,"{'a': 0.1, 'e': 0.9998670549446206}",25,0,-93.94679953254449,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
152,False,"{'a': 0.1, 'e': 0.9998625940963742}",35,0,-110.8581622063545,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
153,False,"{'a': 0.1, 'e': 0.9998580143}",35,0,-221.79125332733295,"{0: 17, 1: 7, 2: 6, 3: 3, 4: 2}",0
154,False,"{'a': 0.1, 'e': 0.9998533131923928}",35,0,-311.4514082489486,"{0: 17, 1: 0, 2: 13, 3: 0, 4: 5}",0
155,False,"{'a': 0.1, 'e': 0.9998484883793545}",20,12,-9.745630143804581,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.9998435374353909}",20,0,-140.14819760216707,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
157,False,"{'a': 0.1, 'e': 0.999838457903509}",20,0,-84.48598945225817,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
158,False,"{'a': 0.1, 'e': 0.9998332472950127}",20,0,-30.446371224164082,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
159,False,"{'a': 0.1, 'e': 0.9998279030893004}",25,0,-96.94710012850827,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.9998224227336618}",30,0,-167.70089163863665,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
161,False,"{'a': 0.1, 'e': 0.9998168036430743}",20,0,-117.70706466104686,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
162,False,"{'a': 0.1, 'e': 0.9998110432}",20,0,-62.80480181727449,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.9998051387541821}",20,7,-29.40154938621514,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.9997990876224424}",20,0,-23.503243977097423,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
165,False,"{'a': 0.1, 'e': 0.9997928870884774}",30,0,-94.01511936133365,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
166,False,"{'a': 0.1, 'e': 0.9997865344026554}",25,0,-121.65631029852223,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
167,False,"{'a': 0.1, 'e': 0.9997800267818134}",25,0,-124.76195047758141,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
168,False,"{'a': 0.1, 'e': 0.9997733614090535}",30,0,-133.39897778277833,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
169,False,"{'a': 0.1, 'e': 0.99976653543354}",30,0,-147.6825278678093,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
170,False,"{'a': 0.1, 'e': 0.9997595459702958}",20,0,-69.25255006263005,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.1, 'e': 0.9997523901}",20,0,-14.699888321900632,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.1, 'e': 0.9997450648687836}",20,0,-172.85816969474791,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
173,False,"{'a': 0.1, 'e': 0.9997375672880269}",25,0,-184.98430049736356,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
174,False,"{'a': 0.1, 'e': 0.9997298943341564}",20,0,-40.8482658792767,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.1, 'e': 0.9997220429484411}",25,10,-100.82720513268299,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 1}",1
176,False,"{'a': 0.1, 'e': 0.9997140100367898}",20,0,-102.55378830809184,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
177,False,"{'a': 0.1, 'e': 0.9997057924695473}",25,0,-153.0528593186367,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
178,False,"{'a': 0.1, 'e': 0.9996973870812919}",25,0,-108.92791507278913,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
179,False,"{'a': 0.1, 'e': 0.9996887906706312}",25,0,-106.1763806509158,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
180,False,"{'a': 0.1, 'e': 0.99968}",25,0,-116.33037714925061,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.9996710117954564}",20,0,-182.01972484409242,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
182,False,"{'a': 0.1, 'e': 0.9996618227464783}",20,0,-217.9908866493814,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
